ID,tx_hash,rule_id_1,similarity_1,rule_name_1,rule_id_2,similarity_2,rule_name_2,count
5691,0xe4550a67c5d0956a0843ac18dd295364e7f0f91188589ea2a4612b57e4d08003,395,0.4545454545454546,LPC,75,0.4545454545454546,Miner,400
4937,0xb1ffaf5d55fe7d2771d0c6e74bbcf6602e2a31b1aeb947cd91d1f50b5cbaed81,344,0.4545454545454546,SCROLL,515,0.4,BNBX,1560
3872,0xe8344b25180206f69f5653665ee37c7ac55cd3a90a377cb6f8acf0d9cd4c4e20,260,0.4545454545454546,Paraswap,24,0.4117647058823529,Uerii,771
3775,0x41336cc9665027daa4ee9c97d74ca193decd44446052ab2d1be75ab19c662d69,248,0.4545454545454546,FAPEN,471,0.4,LocalTrader,795
2424,0x0379ff62437ffe2b2660fad20f30f92a2995bf4f38365842cb3d2191452847a9,136,0.4545454545454546,RabbyWallet,342,0.4444444444444444,Discover,1958
2473,0xb4481b8495a19adc97aa58242dbd7c60e3ca2a26d9e64c7d915dfa449d263f94,143,0.4545454545454546,Uranium,75,0.4545454545454546,Miner,253
6505,0x372e409a499ae336c956e27152b3e4db09a052bc23b51729e6e9e030c02882e8,436,0.4499999999999999,LQDX,112,0.3666666666666667,JulSwap,405
367,0x13c71fc094e7180b32b57e435cf28c99c95464592a9bd9b6d4016cb0f3c858eb,23,0.4499999999999999,BXH,57,0.4444444444444444,FFIST,585
3078,0x200944ecace328b83f69aadd3389d1ee891c9e23f9deceafdaebcaf2af0e6f9f,200,0.4499999999999999,FiberRouter,284,0.4444444444444444,MEVbot,387
4812,0xa5ba4e86f4aeeb50923752ddf05a59ab4474fcec2d1da1e167d992cba3a1e3da,333,0.4499999999999999,WIFCOIN,56,0.4230769230769231,XST,805
433,0x1a9ec57a6f337cd267e2165359d4fcac88e711d484558ac85f1e43f67d60a405,24,0.4499999999999999,Uerii,287,0.4399999999999999,MEVa47b,170
4094,0x13189449b760bf722329a26d5cfc11943c29b2c995b7b12991b76e5dbe5a417a,284,0.4482758620689655,MEVbot,348,0.4333333333333333,ULME,169
2472,0x9030e52dd286e2a3412fc6346f05860cd9d137758a55d4a3d2800d42edfaa620,143,0.4444444444444444,Uranium,298,0.4285714285714286,Swapos,35252
6504,0xa4f4b70e8a92d8c8bad0ca40fbc280f7d10eaf50c27a20fc2705a968714731f8,436,0.4444444444444444,LQDX,417,0.4444444444444444,DKP,1054
948,0xf9a44d76a0d7b20855628393da980b32bdec4bf61bcea2f50d588c3af55cf07e,57,0.4444444444444444,FFIST,143,0.4375,Uranium,207
4246,0xd3a6b61baee0f1f117e2d4096bc9f50abc295c271ccbdd39eb8174550736a926,293,0.4444444444444444,Qixi,236,0.4444444444444444,Chainge,403
518,0x06325fdf6d192161eb92f821db009372de213cc3f883fc2988476f8138850cb2,27,0.4444444444444444,BNB48MEVBot,57,0.4210526315789473,FFIST,175
7978,0x2d932ef8bc28cea31024404b201150da2c7719b54d205b8c8fd3146c072b11be,519,0.4444444444444444,TSURU,290,0.4444444444444444,PHIL,7931
4260,0xb89b445466af3a1f80e5c0af5534ffe684c2c23d23c254d148f28cfebcf29823,298,0.4444444444444444,Swapos,143,0.4444444444444444,Uranium,5473
4475,0x59f085b8b4ba20cb57cc7cc59fad18ce3253bad8bdb20b8c97d2b1ef2364e98d,313,0.4444444444444444,BEVO,244,0.4444444444444444,Wdoge,1314
3694,0xc0c599e90121c154d8473b5c05efc4662706d70476db47790cecb387fcd8c527,244,0.4444444444444444,Wdoge,164,0.3913043478260869,JokInTheBox,800
6342,0xe5616393e600a59b4853b4ae400282b38c3ab0ca65febb944f08777c527a6d2f,432,0.4444444444444444,PANDORA,248,0.4,FAPEN,758
5690,0xdc4f0a83f6f29b1985228bf5361a1a353210d14519116ca0b5989b7a7ac25cb7,395,0.4444444444444444,LPC,75,0.4444444444444444,Miner,8088
4901,0xc7ee2a7f2ad9ce0741ff5ce32da96291f56c5bcbbeebb5edc431bd28a3873f24,342,0.4444444444444444,Discover,432,0.4285714285714286,PANDORA,3442
6797,0x6f0381355883a0f3067888be35ead3d089a17fb360941f43998bcc1548d3951c,445,0.4444444444444444,BEARNDAO,364,0.4444444444444444,GFA,177
